Limit 1 b KM,Limit 1 b KMD,Limit 1 b distances,,Limit 1 y KM,Limit 1 y KMD,Limit 1 y distances,,Limit 2 b KM,Limit 2 b KMD,Limit 2 b distances,,Limit 2 y KM,Limit 2 y KMD,Limit 2 y distances
1190.0352,-0.0352,0.0008,,1063.1477,-0.1477,0.0318,,1159.0424,-0.0424,0.012,,869.1446,-0.1446,0.0102
1185.0832,-0.0832,0.049,,1067.1649,-0.1649,0.0152,,1156.0779,-0.0779,0.0475,,879.0969,-0.0969,0.0588
1190.0798,-0.0798,0.045,,1073.1493,-0.1493,0.0314,,1178.9482,0.0518,0.0841,,887.1526,-0.1526,0.0046
1198.0211,-0.0211,0.0143,,1078.2053,-0.2053,0.0235,,1171.0251,-0.0251,0.0067,,905.2099,-0.2099,0.05
1199.021,-0.021,0.0144,,1107.1868,-0.1868,0.0015,,1173.04,-0.04,0.0078,,931.119,-0.119,0.0434
1201.0574,-0.0574,0.0214,,1114.1994,-0.1994,0.0131,,1180.0264,-0.0264,0.0066,,926.1686,-0.1686,0.0064
1205.0768,-0.0768,0.04,,1122.1696,-0.1696,0.0175,,1181.0326,-0.0326,0.0006,,932.1657,-0.1657,0.0027
1215.0233,-0.0233,0.0143,,1143.1725,-0.1725,0.0173,,1182.0233,-0.0233,0.0099,,943.1602,-0.1602,0.0041
1209.0718,-0.0718,0.0346,,1145.1783,-0.1783,0.0117,,1184.0397,-0.0397,0.006,,942.1787,-0.1787,0.0143
1217.0234,-0.0234,0.0145,,1142.2091,-0.2091,0.0192,,1190.0352,-0.0352,0.0008,,948.1434,-0.1434,0.0214
1213.0597,-0.0597,0.022,,1151.2133,-0.2133,0.0221,,1185.0832,-0.0832,0.049,,948.1457,-0.1457,0.0191
1216.0376,-0.0376,0.0002,,1158.2072,-0.2072,0.0152,,1184.0992,-0.0992,0.065,,960.1656,-0.1656,0.0009
1220.0353,-0.0353,0.003,,1162.2021,-0.2021,0.0096,,1190.0798,-0.0798,0.045,,961.1612,-0.1612,0.0054
1226.0105,-0.0105,0.0284,,1162.2047,-0.2047,0.0123,,1198.0211,-0.0211,0.0143,,959.1873,-0.1873,0.0207
1223.0362,-0.0362,0.0025,,1163.2043,-0.2043,0.0118,,1199.021,-0.021,0.0144,,966.1506,-0.1506,0.0166
1223.0401,-0.0401,0.0014,,1181.1849,-0.1849,0.0098,,1201.0574,-0.0574,0.0214,,972.1477,-0.1477,0.0202
1225.0347,-0.0347,0.0043,,1180.2093,-0.2093,0.0145,,1205.0768,-0.0768,0.04,,976.1336,-0.1336,0.0347
1231.0158,-0.0158,0.0239,,1190.1906,-0.1906,0.0053,,1215.0233,-0.0233,0.0143,,982.1016,-0.1016,0.0671
1229.0495,-0.0495,0.0098,,1192.2092,-0.2092,0.0129,,1209.0718,-0.0718,0.0346,,981.1525,-0.1525,0.0166
1241.9995,0.0005,0.0415,,1197.224,-0.224,0.027,,1217.0234,-0.0234,0.0145,,984.1585,-0.1585,0.011
1239.0573,-0.0573,0.0162,,1198.2162,-0.2162,0.0191,,1213.0597,-0.0597,0.022,,985.2024,-0.2024,0.0324
1241.0488,-0.0488,0.0076,,1204.2057,-0.2057,0.0079,,1216.0376,-0.0376,0.0002,,992.1564,-0.1564,0.0141
1244.0331,-0.0331,0.0084,,1208.1954,-0.1954,0.0028,,1220.0353,-0.0353,0.003,,994.1397,-0.1397,0.0309
1254.0608,-0.0608,0.0178,,1216.2027,-0.2027,0.0034,,1226.0105,-0.0105,0.0284,,1000.155,-0.155,0.0165
1260.0606,-0.0606,0.0168,,1220.1894,-0.1894,0.0102,,1223.0362,-0.0362,0.0025,,1005.1497,-0.1497,0.0224
1263.0601,-0.0601,0.0159,,1225.1715,-0.1715,0.0287,,1223.0401,-0.0401,0.0014,,1010.1378,-0.1378,0.0349
1269.0296,-0.0296,0.0151,,1226.1987,-0.1987,0.0019,,1225.0347,-0.0347,0.0043,,1012.1269,-0.1269,0.0459
1268.0814,-0.0814,0.0363,,1225.2152,-0.2152,0.0147,,1231.0158,-0.0158,0.0239,,1001.2128,-0.2128,0.0407
1274.0566,-0.0566,0.011,,1229.2054,-0.2054,0.0045,,1229.0495,-0.0495,0.0098,,1004.1965,-0.1965,0.0241
1272.0724,-0.0724,0.0269,,1233.2149,-0.2149,0.0134,,1241.9995,0.0005,0.0415,,1011.1441,-0.1441,0.0287
1276.0517,-0.0517,0.0059,,1233.2183,-0.2183,0.0167,,1239.0573,-0.0573,0.0162,,1015.1123,-0.1123,0.0608
1274.1066,-0.1066,0.0606,,1234.2135,-0.2135,0.0118,,1241.0488,-0.0488,0.0076,,997.2565,-0.2565,0.0845
1287.028,-0.028,0.0191,,1236.2006,-0.2006,0.0012,,1244.0331,-0.0331,0.0084,,1000.2446,-0.2446,0.0724
1293.024,-0.024,0.0238,,1239.2274,-0.2274,0.025,,1246.1052,-0.1052,0.0628,,1030.1469,-0.1469,0.0283
1286.0843,-0.0843,0.0369,,1244.2265,-0.2265,0.0234,,1254.0608,-0.0608,0.0178,,1025.1898,-0.1898,0.0149
1299.0397,-0.0397,0.009,,1247.2276,-0.2276,0.0242,,1260.0606,-0.0606,0.0168,,1027.1793,-0.1793,0.0042
1296.0647,-0.0647,0.0161,,1251.2225,-0.2225,0.0187,,1263.0601,-0.0601,0.0159,,1028.1847,-0.1847,0.0094
1301.0569,-0.0569,0.0077,,1252.2368,-0.2368,0.0326,,1269.0296,-0.0296,0.0151,,1035.1476,-0.1476,0.0283
1304.0929,-0.0929,0.043,,1257.2062,-0.2062,0.0017,,1268.0814,-0.0814,0.0363,,1029.2454,-0.2454,0.0695
1309.0969,-0.0969,0.0463,,1261.2047,-0.2047,0.0003,,1274.0566,-0.0566,0.011,,1043.1537,-0.1537,0.0233
1314.0619,-0.0619,0.0111,,1263.2199,-0.2199,0.0145,,1272.0724,-0.0724,0.0269,,1039.2159,-0.2159,0.039
1316.0489,-0.0489,0.0022,,1269.2243,-0.2243,0.0182,,1276.0517,-0.0517,0.0059,,1044.1771,-0.1771,0.0001
1327.0204,-0.0204,0.0318,,1275.1956,-0.1956,0.0111,,1274.1066,-0.1066,0.0606,,1037.2471,-0.2471,0.0701
1318.0913,-0.0913,0.0396,,1279.2073,-0.2073,0,,1287.028,-0.028,0.0191,,1049.1566,-0.1566,0.0211
1326.0792,-0.0792,0.0266,,1278.2199,-0.2199,0.0126,,1293.024,-0.024,0.0238,,1049.1596,-0.1596,0.0181
1332.0372,-0.0372,0.0158,,1285.1773,-0.1773,0.0306,,1286.0843,-0.0843,0.0369,,1055.157,-0.157,0.0215
1338.0239,-0.0239,0.0298,,1280.2327,-0.2327,0.025,,1299.0397,-0.0397,0.009,,1063.1477,-0.1477,0.0318
